Movie ID,Title,Slug,Old Rating,Reason
98bb4726-2efb-47fb-ba2b-8d754dc000d7,"Ranger","ranger-2026",6.5,"No release date, year is 2026 (current year)"
172f3b50-0230-4758-b946-1faa6dce9d84,"O'Romeo","o-romeo-2026",6.7,"No release date, year is 2026 (current year)"
7e4251fe-2e63-4822-92f2-1b1967687358,"Anantha","anantha-2026",6.7,"No release date, year is 2026 (current year)"
32f15694-0b9d-4282-8f23-9b210e484af6,"Seetha Payanam","seetha-payanam-2026",6,"No release date, year is 2026 (current year)"
8a41ee2a-ffa3-4812-b9f4-da5b8fedbaac,"Swayambhu","swayambhu-2026",6,"No release date, year is 2026 (current year)"
a3d4f427-f628-4279-b8b1-874dba18a164,"Funky","funky-2026",6.5,"No release date, year is 2026 (current year)"
8f789ada-dc92-4075-b01e-f052e1b3ab09,"Ramayana: Part One","ramayana-part-one-2026",6.7,"No release date, year is 2026 (current year)"
043bb7f8-1808-417b-9655-4d1fd3b01b4d,"Salaar: Part 2 â€“ Shouryanga Parvam","salaar-part-2-shouryanga-parvam-2026",0,"No release date, year is 2026 (current year)"
003f3973-3b96-4590-9a66-5d6e74eef181,"Mana Shankara Vara Prasad Garu","msvp-2026",8.5,"No release date, year is 2026 (current year)"
2c8c9285-69c9-4a8f-80da-42286d4eb79f,"Sabhaku Namaskaram","sabhaku-namaskaram-2026",6.7,"No release date, year is 2026 (current year)"
0ba0eaf7-0be5-47e4-8260-7abf9c567b1c,"Dark Chocolate","dark-chocolate-2026",6,"No release date, year is 2026 (current year)"
01f92cc3-78d8-4eca-aa30-53b94ce2e963,"Alcohol","alcohol-2026",6,"No release date, year is 2026 (current year)"
916dc0f6-b852-4702-9ce5-55721c7f09b5,"The Bed","the-bed-2026",6.5,"No release date, year is 2026 (current year)"
75db7c4e-2e7e-433c-9f5d-f754745ed68d,"Vishwambhara","vishwambhara-2026",6.8,"No release date, year is 2026 (current year)"
54287aed-6c3d-4830-a9ed-313a280fc6d9,"Nilakanta","nilakanta-2026",6.3,"No release date, year is 2026 (current year)"
8042d1e0-d7e3-49c0-9fc7-0da889149268,"Rao Bahadur","rao-bahadur-2026",6,"No release date, year is 2026 (current year)"
84112922-551f-4230-95e0-6f385dbf4eaa,"The Paradise","the-paradise-2026",6.1,"No release date, year is 2026 (current year)"
d2c63a4e-510f-4bc9-bd85-3e726dc7f65c,"Rowdy Janardhana","rowdy-janardhana-2026",6.4,"No release date, year is 2026 (current year)"
e1494711-939a-41cc-80eb-22e424846d6b,"Itllu Arjuna","itllu-arjuna-2026",6,"No release date, year is 2026 (current year)"
3b702788-7c60-4459-a9d7-1f616bc67a46,"Honey","honey-2026",6,"No release date, year is 2026 (current year)"