slug	name_en	occupation	wikipedia_url	imdb_id	awards_found	status	notes
celeb-kalyani	Kalyani	actor	N/A	nm9219502		TODO	
celeb-kamalinee-mukherjee	Kamalinee Mukherjee	actor	N/A	nm2151543		TODO	
celeb-kanchanamala	Kanchanamala	actor	N/A	N/A		TODO	
celeb-kartikeya-gummakonda	Kartikeya Gummakonda	actor	N/A	N/A		TODO	
celeb-kaveri	Kaveri	actor	N/A	nm0442641		TODO	
celeb-kavitha	Kavitha	actor	N/A	N/A		TODO	
celeb-kavya-thapar	Kavya Thapar	actor	N/A	nm5729528		TODO	
celeb-keerthy-suresh	Keerthy Suresh	actor	N/A	nm7146337		TODO	
celeb-khushboo	Khushboo	actor	N/A	nm1001243		TODO	
celeb-kiran-abbavaram	Kiran Abbavaram	actor	N/A	nm10954569		TODO	
celeb-kota-srinivasa-rao	Kota Srinivasa Rao	actor	N/A	nm0004469		TODO	
celeb-krishna	Krishna	actor, director, producer	N/A	nm0315553		TODO	
celeb-254e75a3	Krithi Shetty	actress	https://en.wikipedia.org/wiki/Krithi_Shetty	nm9598771		TODO	
celeb-kriti-kharbanda	Kriti Kharbanda	actor	N/A	nm3713653		TODO	
celeb-lakshmi-manchu	Lakshmi Manchu	actor	N/A	nm1711203		TODO	
celeb-latha	Latha	actor	N/A	nm7989363		TODO	
celeb-lavanya-tripathi	Lavanya Tripathi	actor	N/A	nm5194945		TODO	
celeb-laya	Laya	actor	N/A	nm0493483		TODO	
celeb-maheswari	Maheswari	actor	N/A	N/A		TODO	
celeb-malashri	Malashri	actor	N/A	N/A		TODO	