Year	Title_EN	Title_TE
2027	Baahubali: the Eternal War - Part 1	
2026	Nari Nari Naduma Murari	
2026	Honey	
2026	Psych Siddhartha	
2026	Goodachari 2	
2026	Itllu Arjuna	
2026	Rowdy Janardhana	
2026	The Paradise	
2026	Sahakutumbaanaam	
2026	Rao Bahadur	
2026	Bhartha Mahasayulaku Wignyapthi	
2026	Vanaveera	
2026	Ustaad Bhagat Singh	
2026	Funky	
2026	Madham	
2026	Nilakanta	
2026	Dark Chocolate	
2026	Alcohol	
2026	Spirit	
2026	Anaganaga Oka Raju	
2026	Swayambhu	
2026	Lenin	
2026	Seetha Payanam	
2026	Aakasam Lo Oka Tara	
2026	Om Shanti Shanti Shantihi	
2026	Mana Shankara Vara Prasad Garu	
2026	Sabhaku Namaskaram	
2026	Anantha	
2026	Ranger	
2026	O'Romeo	
2026	The Bed	
2026	Vishwambhara	
2025	Anaganaga	
2025	LYF - Love Your Father	
2025	The Great Pre-Wedding Show	
2025	Shambhala	
2025	Gandhi Tatha Chettu	
2025	Shivangi	
2025	Paanch Minar	
2025	They Call Him OG	
2025	Oh Bhama Ayyo Rama	
2025	14 Days (girlfriend Intlo)	
2025	Mass Jathara	
2025	Mokshapatam	
2025	1000 Waala	
2025	28 Degree Celsius	
2025	The 100	
2025	Arjun Chakravarthy	
2025	Ari: My Name is Nobody	
2025	Baapu	
2025	Raju Weds Rambai	
2025	Bhairavam	
2025	Oka Pathakam Prakaaram	
2025	Akkada Ammayi Ikkada Abbayi	
2025	Enuguthondam Ghatikachalam	
2025	Mazaka	
2025	Sundarakanda	
2025	Ghaati	
2025	Neeli Megha Shyama	
2025	Dear Uma	
2025	Kannappa	
2025	Subham	
2025	Uppu Kappurambu	
2025	Oka Brundavanam	
2025	Dhandoraa	
2025	(MAD)Â²	
2025	Pelli Kaani Prasad	
2025	Chaurya Paatham	
2025	Baahubali: The Epic	
2025	Arjun Son of Vyjayanthi	
2025	Police Vari Heccharika	
2025	Mowgli	
2025	Junior	
2025	Show Time	
2025	Meghalu Cheppina Prema Katha	
2025	Tuk Tuk	
2025	Santhana Prapthirasthu	
2025	Premistunnaa	
2025	Kishkindhapuri	
2025	Paradha	
2025	Sarangapani Jathakam	
2025	Jatadhara	
2025	Brahma Anandam	
2025	Ramam Raghavam	
2025	23 (Iravai Moodu)	
2025	Telusu Kada	
2025	Thammudu	
2025	Shashtipoorthi	
2025	Eesha	
2025	Patang	
2025	Premante	
2025	Chiranjeeva	
2025	Robinhood	
2025	#Single	
2025	Janata Bar	
2025	Dreamcatcher	
2025	Solo Boy	
2025	Blind Spot	
2025	Laila	
2025	Odela 2	
