Title (EN),Title (TE),Year,Director,Hero,Heroine,Music Director,Runtime (min),Genres,Synopsis,Missing Fields
"Anaganaga Oka Rowdy","","","Manu Yagnaa","Sumanth","No Female Lead","Mark K. Robin","","Action; Comedy","Anaganaga Oka Rowdy is an action-comedy film that likely revolves around the story of a rowdy or a t","runtime"
"Asuragana Rudra","","","Murali Katragadda","Naresh Agastya","Sangeerthana Vipin","Shekar Chandra","","Crime; Thriller","Asuragana Rudra is a crime thriller that follows the story of a young and ambitious detective, playe","runtime"
"Takshakudu","","","Vinod Anantoju","Anand Deverakonda","Nitanshi Goel","Midhun Mukundan","","Action; Drama","Takshakudu is an action-drama film that follows the story of a young protagonist, played by Anand De","runtime"
"Illicit Relationship","","","Rohit Penumatsa","Abhinay Kadiyala","Thanmai Bolt","Ravi Nidamarthy","","Drama","Illicit Relationship is a drama film that explores the complexities of a forbidden romance between t","runtime"
"Salaar: Part 2 - Shouryaanga Parvam","","","Prashanth Neel","Prabhas","Prithviraj Sukumaran","Ravi Basrur","","Action","Salaar: Part 2 - Shouryaanga Parvam is an action film that likely continues the story of the first p","runtime"
"Pushpa 3 - The Rampage","","","Sukumar","Allu Arjun","Rashmika Mandanna","Devi Sri Prasad","","Action; Crime; Thriller","Pushpa 3 - The Rampage is an action-packed thriller that follows the story of Pushpa, played by Allu","runtime"
"Vishwambhara","","","Malladi Vassishta","Chiranjeevi","Trisha Krishnan","M.M. Keeravaani","","Fantasy","Vishwambhara is a fantasy film that likely follows the journey of its protagonist, played by Chiranj","runtime"
"NTR Neel","","","Prashanth Neel","N.T. Rama Rao Jr.","Tovino Thomas","Ravi Basrur","","Action; Crime; Drama","NTR Neel is an action-packed crime drama that follows the story of a powerful and fearless individua","runtime"
"Anumana Pakshi","","","Vimal Krishna","Rag Mayur","Merin Philip","Sricharan Pakala","","Comedy; Drama","Anumana Pakshi is a comedy-drama film that revolves around the life of a young man, played by Rag Ma","runtime"
"Garividi Lakshmi","","","Gowri Naidu Jammu","Naresh","Anandhi","Charan Arjun","","Family; Drama","Garividi Lakshmi is a family drama that revolves around the life of Lakshmi, played by Anandhi, and ","runtime"
"Mirai Jaithraya","","","Karthik Ghattamaneni","Teja Sajja","Ritika Nayak","","","","Mirai Jaithraya is an upcoming Telugu film directed by Karthik Ghattamaneni, starring Teja Sajja and","runtime"
"Janakiram","","","Ram Prasad Ragutu","Nagendra Babu","Keerthy Suresh","Achu Rajamani","","Romance; Comedy; Action","Janakiram is a romance-comedy-action film that follows the story of Janakiram, played by Nagendra Ba","runtime"
"Comrade Kalyan","","","Janakiram Marella","Sree Vishnu","Mahima Nambiar","Vijai Bulganin","","Romance; Action; Drama","Comrade Kalyan is a romance, action, and drama film that revolves around the life of its protagonist","runtime"
"Arrtham","","","Thellaguti Manikanth","Mahendran","Shraddha Das","Harshavardhan Rameshwar","","Thriller; Action","Arrtham is a thriller action film that revolves around the story of a protagonist, played by Mahendr","runtime"
"Amaran in the City: Chapter 1","","","S. Balaveer","Aadi Saikumar","Avika Gor","Krishna Chaitanya","","","Amaran in the City: Chapter 1 follows the story of Amaran, played by Aadi Saikumar, as he navigates ","runtime"
"AA22xA6","","","Atlee","Allu Arjun","Deepika Padukone","Sai Abhyankkar","","Action; Science Fiction","AA22xA6 is an action-packed science fiction film directed by Atlee, starring Allu Arjun and Deepika ","runtime"
"Biker","","","Abhilash Kankara","Sharwanand","Malavika Nair","Ghibran","","Adventure; Drama","Biker is an adventure drama film that follows the story of a young biker, played by Sharwanand, who ","runtime"
"Abhiram","","","Ramakrishna Arjun","Prabhakar","Navami Gayak","Meenakshi Bhujang","","Romance; Comedy; Drama","Abhiram story revolves around the deserted child that grows in the orphan house discovers the mother","runtime"
"Kirathaka","","","Veerabhadram","Aadi Saikumar","Payal Rajput","Suresh Bobbili","","Crime; Thriller","Kirathaka is a crime thriller that follows the story of a young man, played by Aadi Saikumar, who ge","runtime"
"They Call Him OG 2","","","Sujeeth","Pawan Kalyan","No Female Lead","S. Thaman","","Thriller; Action","They Call Him OG 2 is an action-thriller film directed by Sujeeth, starring Pawan Kalyan as the lead","runtime"
"Sambarala Yetti Gattu","","","Rohith KP","Sai Durgha Tej","Aishwarya Lekshmi","B. Ajaneesh Loknath","","Action; Fantasy","Sambarala Yetti Gattu is an action-fantasy film that likely follows the journey of a young hero, pla","runtime"
"Maate Mantramu","","","Abhimanyu Baddi","Rahul Vijay","Megha Akash","Hari Gowra","","Romance; Comedy","The story of Maate Mantramu rotates around the life of Vasudhara, a straightforward young girl from ","runtime"
"Bad Boy Karthik","","","Ramesh","Naga Shaurya","Vidhi Yadav","Harris Jayaraj","","Action; Drama","Bad Boy Karthik is an action-drama film that revolves around the life of Karthik, played by Naga Sha","runtime"
"ENE Repeat","","","Tharun Bhascker","Vishwak Sen","No Female Lead","Vivek Sagar","","Comedy; Romance; Drama","ENE Repeat, directed by Tharun Bhascker, is a comedy-drama film starring Vishwak Sen, exploring them","runtime"
"Hey Bhagawan!","","","Gopi Atchara","Suhas","Shivani Nagaram","Vivek Sagar","","Comedy; Drama","Hey Bhagawan! is a comedy-drama film that follows the story of a young man, played by Suhas, who emb","runtime"
"Band Melam","","","Sathish Javvaji","Harsh Roshan","Sridevi Apalla","Vijai Bulganin","","Romance; Drama","Band Melam is a romance drama that revolves around the life of a young musician, played by Harsh Ros","runtime"
"Patta Pagalu","","","Ram Gopal Varma","Tanikella Bharani","Swati Dixit","","","Horror","Patta Pagalu is a horror film directed by Ram Gopal Varma, starring Tanikella Bharani and Swati Dixi","runtime"
"Mysaa","","","Rawindra Pulle","Guru Somasundaram","Rashmika Mandanna","Jakes Bejoy","","Action; Drama; Thriller","Unafraid of war and unwilling to stop until she finds that one answer. She carries no doubts. Only t","runtime"
"DQ 41","","","Ravi Nelakuditi","Dulquer Salmaan","Pooja Hegde","G. V. Prakash Kumar","","Romance; Drama","DQ 41 is a romance drama that follows the story of a young couple, played by Dulquer Salmaan and Poo","runtime"
"Reppa","","","Filmian","Suhas","Harshitha","Avtar","","Drama; Romance; Fantasy","Reppa is a drama, romance, and fantasy film that follows the story of a young man, played by Suhas, ","runtime"
"Kanchu Kaagada","","","A. Kodandarami Reddy","Krishna","Sridevi","K. Chakravarthy","","","Kanchu Kaagada is a movie that likely revolves around a story of love, family, and social issues, st","runtime"
"Vāranāsi","","","S. S. Rajamouli","Mahesh Babu","Priyanka Chopra Jonas","M.M. Keeravaani","","Adventure; Action; Science Fiction; Fantasy","Varanasi is a psychedelic and spiritual trip into the heart of northern India. From the labyrinthine","runtime"
"HaiLesso","","","Kota Prasanna Kumar","Sudigali Sudheer","Natasha Singh","Anudeep Dev","","Action; Drama","HaiLesso is an action-drama film that follows the story of a young man, played by Sudigali Sudheer, ","runtime"
"Haindava","","","Ludheer Byreddy","Bellamkonda Srinivas","Samyuktha","Leon James","","Action; Drama","Haindava is an action-drama film that follows the story of a young man, played by Bellamkonda Sriniv","runtime"
"VD14","","","Rahul Sankrityan","Vijay Deverakonda","Rashmika Mandanna","Ajay Gogavale","","Action; Thriller; Mystery","VD14 is an action-packed thriller that follows the story of a mysterious protagonist, played by Vija","runtime"
"Kalki 2898-AD: Part 2","","","Nag Ashwin","Amitabh Bachchan","Kamal Haasan","","","Action; Fantasy; Science Fiction","Kalki 2898-AD: Part 2 is set in a futuristic world where legendary figures from Indian mythology are","runtime"
"Vrushakarma","","","Karthik Varma Dandu","Naga Chaitanya Akkineni","Meenakshi Chaudhary","B. Ajaneesh Loknath","","Fantasy; Thriller","Vrushakarma is a fantasy thriller film that follows the story of a young man, played by Naga Chaitan","runtime"
"Oh..! Sukumari","","","Bharat Dharshan","Thiruveer Reddy","Aishwarya Rajesh","Bharath Manchiraju","","Comedy; Romance; Drama","Oh..! Sukumari is a comedy, romance, and drama film that likely revolves around the life of Sukumari","runtime"
"Maa Inti Bangaram","","","B. V. Nandini Reddy","Gulshan Devaiah","Samantha Ruth Prabhu","Santhosh Narayanan","","Action; Comedy; Thriller; Drama","Maa Inti Bangaram is an action-comedy thriller that follows the story of a young woman, played by Sa","runtime"
"Nagabandham","","","Abhishek Nama","Virat Karrna","Nabha Natesh","","","","Nagabandham is a Telugu film that likely revolves around a dramatic storyline, given the title's ref","runtime"
"Baahubali: the Eternal War - Part 1","","2027","Ishan Shukla","Prabhas","Ramya Krishnan","","","Animation; Action; Drama","The murdered Prince Baahubali enters the afterlife and joins an eternal war between gods and demons ","runtime"
"Swayambhu","","2026","Bharath Krishnamachari","Nikhil Siddhartha","Samyuktha","Ravi Basrur","","","Follows the story of an emperor who established a golden age in history.","runtime"
"Funky","","2026","Anudeep","Vishwak Sen","Kayadu Lohar","Bheems Ceciroleo","","Comedy; Romance; Drama","Funky, directed by Anudeep, is a comedy-romance drama that likely follows the story of a free-spirit","runtime"
"Om Shanti Shanti Shantihi","","2026","Sajeev AR","Tharun Bhascker","Eesha Rebba","Jay Krish","","Comedy","Om Shanti Shanti Shantihi is a comedy film that follows the story of a young man, played by Tharun B","runtime"
"Psych Siddhartha","","2026","Varun Reddy","Nandu Vijay Krishna","","Smaran Sai","120","Comedy; Romance","Psych Siddhartha is a comedy-romance film that follows the story of Siddhartha, played by Nandu Vija","heroine"
"The Paradise","","2026","Srikanth Odela","Nani","Sonali Kulkarni","Anirudh Ravichander","","Action; Thriller; Drama","The Paradise, directed by Srikanth Odela, is an action-thriller that follows the story of a protagon","runtime"
"Alcohol","","2026","Meher Tej","Allari Naresh","Ruhani Sharma","Ghibran","","Drama; Thriller","Alcohol is a drama thriller film that revolves around the life of a character played by Allari Nares","runtime"
"Itllu Arjuna","","2026","Mahesh Uppala","Aniesh","Anaswara Rajan","S. Thaman","","Action; Romance","Itllu Arjuna is an action-romance film that follows the story of Arjuna, played by Aniesh, as he nav","runtime"
"Seetha Payanam","","2026","Arjun Sarja","Niranjan Sudhindra","Aishwarya Arjun","Anup Rubens","","Romance","Seetha Payanam is a romance film that follows the journey of the lead characters, played by Niranjan","runtime"
"Aakasam Lo Oka Tara","","2026","Pavan Sadineni","Dulquer Salmaan","Ruhani Sharma","","","Drama","Aakasam Lo Oka Tara, directed by Pavan Sadineni, is a drama film that likely explores the life of it","runtime"
"Avinash Thiruveedhula","","2026","","","","","","","Avinash Thiruveedhula is an upcoming Telugu film that likely explores themes of family, relationship","director, hero, heroine, runtime"
"Bharat Krishnamachari","","2026","","","","","","","Bharat Krishnamachari is an upcoming Telugu film that likely revolves around the life of its titular","director, hero, heroine, runtime"
"Goodachari 2","","2026","Vinay Kumar Sirigineedi","Adivi Sesh","Banita Sandhu","Sricharan Pakala","","Action; Thriller","Goodachari 2 is an action-thriller film that follows the story of a secret agent, played by Adivi Se","runtime"
"Rowdy Janardhana","","2026","Ravikiran Kola","Vijay Deverakonda","Keerthy Suresh","Christo Xavier","","Action; Thriller; Drama","Rowdy Janardhana, directed by Ravikiran Kola, is an action-thriller that follows the story of Janard","runtime"
"Anaganaga Oka Raju","","2026","Maari","Naveen Polishetty","Meenakshi Chaudhary","Mickey J Meyer","","Romance; Comedy; Drama","Anaganaga Oka Raju is a romantic comedy-drama that follows the story of Raju, played by Naveen Polis","runtime"
"Rao Bahadur","","2026","Venkatesh Maha","Satyadev Kancharana","Deepa Thomas","Smaran Sai","","Thriller; Drama; Fantasy","Rao Bahadur is a psychological drama set against the backdrop of a fading aristocracy, Made in Telug","runtime"
"Ram Abbaraju","","2026","","","","","","","Ram Abbaraju is an upcoming Telugu film that likely revolves around the life of its titular characte","director, hero, heroine, runtime"
"VENDETTA-THE BEAST WITHIN","","2026","Satheesh Kumar G","srinivas","","AI MUSIC","30","Action; Thriller","In VENDETTA-THE BEAST WITHIN, an action-packed thriller directed by Satheesh Kumar G, the lead actor","heroine"
"Nilakanta","","2026","Rakesh Madhavan","Mahendran","Yashna Chowdary","Prashanth BJ","","","Nilakanta, directed by Rakesh Madhavan, is a movie that likely explores the life and journey of its ","runtime"
"Ustaad Bhagat Singh","","2026","Harish Shankar","Pawan Kalyan","Sreeleela","Devi Sri Prasad","","Action; Drama","Ustaad Bhagat Singh, directed by Harish Shankar, is an action-drama film starring Pawan Kalyan as th","runtime"
"Bhartha Mahasayulaku Wignyapthi","","2026","Kishore Tirumala","Ravi Teja","Ashika Ranganath","Bheems Ceciroleo","","Action; Family; Drama","Bhartha Mahasayulaku Wignyapthi, directed by Kishore Tirumala, is an action-packed family drama that","runtime"
"Vamsee Krishna Malla","","2026","","Ekaiva Homes Pvt. Ltd","","","","","Vamsee Krishna Malla is a historical drama that follows the life of Krishna Deva Raya, a prominent k","director, heroine, runtime"
"Mana Shankara Vara Prasad Garu","","2026","Anil Ravipudi","Chiranjeevi","Nayanthara","","","","Mana Shankara Vara Prasad Garu, directed by Anil Ravipudi, is likely a comedy or family drama film g","runtime"
"Dark Chocolate","","2026","Shashank Srivatsavaya","Vishwadev Rachakonda","Bindu Madhavi","","","Comedy; Thriller","Dark Chocolate is a comedy-thriller film that follows the story of a young man, played by Vishwadev ","runtime"
"Honey","","2026","Karuna Kumar","Naveen Chandra","Divya Pillai","Ajay Arasada","","Horror; Thriller","Honey is a horror thriller film that follows the story of a young couple, played by Naveen Chandra a","runtime"
"M. Purnanand","","2025","","","","","","","M. Purnanand is a forthcoming Telugu film set to release in 2025, with details about the plot and ch","director, hero, heroine, runtime"
"Thrinadh Katari","","2025","","","","","","","Thrinadh Katari is a forthcoming Telugu film set to release in 2025, with details about the plot and","director, hero, heroine, runtime"
"Phanindra Narsetti","","2025","Phanindra Narsetti","","","","","","Phanindra Narsetti is a 2025 film directed by Phanindra Narsetti, which appears to be a self-titled ","hero, heroine, runtime"
"Bad Girlz","","2025","","","","","","","Bad Girlz is a 2025 Telugu film that likely explores themes of female empowerment and self-discovery","director, hero, heroine, runtime"
"Lokkesh Ajls","","2025","","","","","","","Lokkesh Ajls is an upcoming Telugu film set to release in 2025, with details about the plot and char","director, hero, heroine, runtime"
"Bhaag!!","","2025","Pavan Koushik","Vinay","","Pavan kumar","36","Action; Drama; Crime","Bhaag!! is an action-packed crime drama that follows the story of the protagonist, played by Vinay, ","heroine"
"Veena Saraswathi","","2025","Kasha Dhanush","Kasha Saraswathi","","Kasha Dhanush","21","Drama","Veena Saraswathi is a drama film that revolves around the life of a young musician, played by Kasha ","heroine"
"B. Shivaprasad","","2025","","","","","","","B. Shivaprasad is a forthcoming Telugu film set to release in 2025, with details about the plot, cas","director, hero, heroine, runtime"
"Babji","","2025","","","","","","","Babji is an upcoming Telugu film set to release in 2025, with details about the plot and characters ","director, hero, heroine, runtime"
"Ratanrishi","","2025","","","","","","","Ratanrishi is a forthcoming Telugu film set to release in 2025, with details about the plot and char","director, hero, heroine, runtime"
"Singara Mohan","","2025","","","","","","","Singara Mohan is a forthcoming Telugu film set to release in 2025, with details about the plot and c","director, hero, heroine, runtime"
"Ugandhar Muni","","2025","","","","","","","Ugandhar Muni is a forthcoming Telugu film set to release in 2025, with details about the plot, cast","director, hero, heroine, runtime"
"Satish Vegesna","","2025","Satish Vegesna","","","","","","Satish Vegesna, a 2025 film directed by Satish Vegesna, appears to be a title that is actually the n","hero, heroine, runtime"
"Amardeep Challapalli","","2025","","","","","","","Amardeep Challapalli is a forthcoming Telugu film set to release in 2025, with details about the plo","director, hero, heroine, runtime"
"Mohan Srivatsa","","2025","","","","","","","Mohan Srivatsa is a forthcoming Telugu film set to release in 2025, with details about the plot and ","director, hero, heroine, runtime"
"Veeraaraju 1991","","2025","Ruudra Viraaj","Ajay Ghosh","","","120","Crime; Drama; Action","A brave fisherman fights a corrupt politician to defend his village on Nellore Sea Shore after coast","heroine"
"Amma Rajasekhar","","2025","","","","","","","Amma Rajasekhar is a Telugu film that likely revolves around a strong mother-son relationship, explo","director, hero, heroine, runtime"
"Relax Meera","","2025","Suhas Venigalla","Likitha Reddy","","Rohan Reddy","36","Thriller","Relax Meera, a thriller film directed by Suhas Venigalla, follows the story of a protagonist, played","heroine"
"Love Is in the Vamsham","","2025","Sathvik Tumu","Sathvik Tumu","","Swara Studios","36","Comedy; Family","Love Is in the Vamsham is a comedy-family film that revolves around the life of a young man, played ","heroine"
"Rajesh Chikile","","2025","","","","","","","Rajesh Chikile is a forthcoming Telugu film set to release in 2025, with details about the plot and ","director, hero, heroine, runtime"
"Men will be Men","","2025","Ramachandra Sai","Tarun Varma","","","14","Drama; Comedy; Action","Men will be Men, directed by Ramachandra Sai, is a drama-comedy-action film that explores the comple","heroine"
"AVADHI THE TALE OF LOVE","","2025","P.Ramsekhar","SS GANESH","","","15","Science Fiction; Drama","Avadhi: The Tale of Love is a science fiction drama that explores the complexities of human emotions","heroine"
"Implies that the film is multilingual and the gross collection figure includes the worldwide collection of the other simultaneously filmed version.","","2025","","","","","","","The 2025 film is a multilingual production with a worldwide release, suggesting a grand scale and di","director, hero, heroine, runtime"
"Gopi Galla Goa Trip","","2025","Camp Sasi","Camp Sasi","","Ravi Nidamarthy","105","Drama; Comedy","Two Gopis from a remote village called Gopalapuram plan a trip to Goa in the hopes of landing some G","heroine"
"Devender","","2025","","","","","","","Devender is an upcoming Telugu film set to release in 2025, with details about the plot and characte","director, hero, heroine, runtime"
"Arjun Chakravarthy: Journey of an Unsung Champion","","2025","Vikrant Rudra","Dayanand Reddy","","Vignesh Baskaran","141","Drama","Arjun Chakravarthy: Journey of an Unsung Champion is a drama film that tells the story of an underdo","heroine"
"Devaraj Bharani Dharan","","2025","","First Copy Movies","","","","","Devaraj Bharani Dharan is an upcoming Telugu film set to release in 2025, with First Copy Movies pla","director, heroine, runtime"
"Mahesh Babu P","","2025","","Mythri Movie Makers","","","","","Mahesh Babu P is an upcoming Telugu film starring Mahesh Babu, although the director and other key c","director, heroine, runtime"
"Hitman’s Holiday","","2025","Nithin Kannekanti","Saketh Reddy","","Nauteen","31","Action; Comedy","In 'Hitman's Holiday', Saketh Reddy plays a hitman who embarks on a journey that intertwines action ","heroine"
"Aryan Subhan","","2025","","","","","","","Aryan Subhan is an upcoming Telugu film that likely revolves around the life of its titular characte","director, hero, heroine, runtime"
"Kalyan Shankar","","2025","","","","","","","Kalyan Shankar is a forthcoming Telugu film set to release in 2025, with details about the plot and ","director, hero, heroine, runtime"
